State,Outbreaks_1993,Outbreaks_1994,Outbreaks_1999,Outbreaks_2000,Outbreaks_2001,Outbreaks_2002,Outbreaks_2003,Outbreaks_2004,Outbreaks_2005,Outbreaks_2006,Outbreaks_2007,Outbreaks_2008,Outbreaks_2009,Outbreaks_2010,Outbreaks_2011,Outbreaks_2012,Outbreaks_2013,Outbreaks_2014,Outbreaks_2015,Outbreaks_2016,Outbreaks_2017,Outbreaks_2018
ME,1733,711,45,1270,146,,1012,363,331,238,357,269,235,247,226,258,140,207,233,228,198,252
NH,1635,3408,NN,NN,NN,,-,-,337,419,374,280,202,162,158,142,104,112,96,85,81,98
VT,NN,NN,NN,NN,149,,930,413,693,790,380,323,112,130,117,145,100,118,33,50,62,49
MA,6619,5903,427,195,1093,,1993,2656,2214,1142,-,-,4,258,513,534,510,470,365,288,386,289
RI,2668,1654,25,12,9,,5,-,N,-,-,-,57,46,42,80,39,54,53,52,74,66
CT,NN,NN,NN,NN,1699,,1582,1902,5284,1727,1440,857,486,320,304,265,223,186,165,113,111,179
NY,NA,NN,NN,NN,NN,,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NJ,NN,NN,NN,NN,NN,,-,-,N,N,N,N,470,568,466,466,419,317,466,446,480,376
PA,NN,NN,NN,NN,NN,,43,80,4752,5202,4680,2409,1582,1149,1101,861,785,834,741,657,674,571
OH,5472,5495,1307,1192,1653,,1302,1663,,8860,4536,2403,1911,1349,1047,806,661,535,458,450,448,476
IN,NN,NN,NN,NN,NN,,-,81,N,N,444,-,457,357,293,469,321,220,173,209,236,172
IL,26447,33889,13846,NA,-,,-,6297,106,150,1091,1489,1582,1195,881,898,731,596,443,469,412,394
MI,32461,37948,12260,8809,6600,,4171,4240,3916,5200,4187,3053,1888,1450,1036,971,722,728,549,531,542,434
WI,NA,NA,591,16,2221,,1011,734,492,1111,1051,860,577,517,422,439,399,419,334,390,286,289
MN,NN,NN,NN,NN,NN,,N,N,-,-,-,-,-,-,1,-,478,297,361,336,432,324
IA,5057,4197,NN,NN,NN,,N,-,N,2001,N,N,N,N,N,N,N,N,N,N,N,N
MO,9609,10147,5291,5744,3,,1,5,477,1408,923,774,573,489,248,388,230,201,170,149,196,168
ND,37,48,5,21,15,,102,85,82,103,140,108,92,52,65,39,36,21,36,45,63,48
SD,420,219,NN,NN,NN,,-,99,136,118,84,55,53,62,67,32,43,23,27,32,24,31
NE,4,2,1,1,NN,,N,N,N,N,N,N,N,25,20,27,16,19,25,25,37,42
KS,1687,3197,NN,NN,NN,,-,-,-,372,596,481,554,394,418,395,434,294,240,230,156,-
DE,3,2,5,NN,NN,,29,5,35,66,49,47,12,39,11,3,23,15,16,12,22,32
MD,NN,NN,NN,NN,NN,,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
VA,2917,2844,1490,592,540,,682,1240,1834,1959,1582,1489,773,548,549,505,374,324,354,284,336,352
WV,5288,5656,1995,2024,1421,,1330,1309,1143,1497,1209,682,493,438,426,206,116,158,160,N,N,N
NC,NN,NN,NN,NN,NN,,N,N,-,-,N,N,N,N,N,N,N,N,N,N,N,N
SC,120,135,NN,83,66,,336,528,674,1259,1103,886,134,83,13,11,168,151,208,185,147,152
GA,NN,NN,NN,NN,NN,,N,N,N,N,N,N,N,N,33,51,54,64,160,169,240,262
FL,NN,NN,NN,NN,NN,,N,N,N,N,N,1735,1125,977,861,816,659,570,740,733,656,853
KY,1429,984,NN,NN,NN,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,15,34
TN,2552,3717,584,123,NN,,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
AL,NN,NN,NN,NN,NN,,-,54,306,599,699,1113,549,296,279,190,160,107,165,107,94,78
MS,NN,NN,NN,NN,NN,,-,-,-,2,2,14,5,12,15,11,5,4,13,9,9,41
AR,NN,NN,NN,NN,NN,,-,-,159,1214,808,777,501,220,347,236,249,254,198,140,136,72
LA,NN,NN,173,102,59,,16,57,129,201,123,72,140,90,100,69,62,42,110,78,59,103
OK,-,NN,NN,NN,-,,N,-,-,N,N,N,N,N,N,N,N,N,N,N,N,N
TX,14291,16159,7473,6964,5741,,5465,8544,8336,11768,10061,7839,4445,2760,2558,2410,1874,1647,1491,1341,1144,972
MT,84,,NN,NN,NN,,-,N,-,N,424,336,164,198,163,132,84,72,132,77,54,57
ID,NN,,NN,NN,3,,-,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N
WY,NN,,NN,NN,NN,,113,57,53,70,35,11,-,21,13,19,9,11,14,14,11,21
CO,NN,,NN,NN,NN,,N,2040,1797,1504,1089,874,515,404,447,483,353,386,311,331,272,269
NM,NN,,NN,NN,NN,,7,U,212,370,422,219,119,95,65,99,66,75,57,58,71,60
AZ,6811,,245,NN,951,,N,-,U,-,-,-,-,-,660,535,354,300,270,279,189,245
UT,297,,136,147,92,,762,471,551,1036,828,763,544,334,389,310,227,215,217,229,253,196
NV,NN,,42,NN,2,,-,-,N,10,N,N,N,N,N,N,N,N,N,N,N,N
WA,NN,,NN,NN,NN,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
OR,NN,,NN,NN,-,,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CA,NN,,NN,NN,NN,,N,N,N,N,-,-,-,36,39,24,30,43,61,44,42,40
AK,NN,,NN,NN,NN,,-,-,N,N,43,76,57,48,64,58,61,31,59,19,45,34
HI,2303,,NN,NN,-,,-,-,-,N,43,68,39,38,44,45,30,52,57,35,61,39